Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,172,0,220,711.5440226918804,108.78877100185491,7827.410021000105,134.47674418604652,5.952366974176901,0.0,220,320,320,380,520,7600,7800,7800,7800,7800,7800
,Aggregated,172,0,220,711.5440226918804,108.78877100185491,7827.410021000105,134.47674418604652,5.952366974176901,0.0,220,320,320,380,520,7600,7800,7800,7800,7800,7800
