Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4234,3224,1,1791.6749728729444,0.7143589973566122,34766.61053299904,46.500236183278226,35.60311602090519,27.110166757533854,1,1,730,1000,1400,2200,33000,33000,35000,35000,35000
,Aggregated,4234,3224,1,1791.6749728729444,0.7143589973566122,34766.61053299904,46.500236183278226,35.60311602090519,27.110166757533854,1,1,730,1000,1400,2200,33000,33000,35000,35000,35000
