Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2701,0,42,68.06819791704835,11.898725999344606,780.780765999225,131.2006664198445,93.06453438693734,0.0,42,61,76,88,130,210,370,470,760,780,780
,Aggregated,2701,0,42,68.06819791704835,11.898725999344606,780.780765999225,131.2006664198445,93.06453438693734,0.0,42,61,76,88,130,210,370,470,760,780,780
