Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,294,0,13,22.370767806153577,11.403403997974237,460.1955899997847,129.68027210884352,10.158664395849739,0.0,13,14,17,19,22,51,92,430,460,460,460
,Aggregated,294,0,13,22.370767806153577,11.403403997974237,460.1955899997847,129.68027210884352,10.158664395849739,0.0,13,14,17,19,22,51,92,430,460,460,460
