Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,29,0,1100,1091.353931137966,1059.154550999665,1144.3234600010328,134.24137931034483,25.103883197987972,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
,Aggregated,29,0,1100,1091.353931137966,1059.154550999665,1144.3234600010328,134.24137931034483,25.103883197987972,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
